ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,order_date,ship_date,order_id,customer_id,payment_due_date,payment_date,payment_delay_days,payment_status,aging_bucket
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Bookcases,69.576,4,0.7,-143.7904,2021-05-17,2021-05-21,4786,Consumer_Colorado Springs,2021-06-16,2021-06-29,13,Late,0–30 Days Late
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Art,4.224,3,0.2,0.4752,2021-06-21,2021-06-27,4787,Consumer_Colorado Springs,2021-07-21,2021-08-10,20,Late,0–30 Days Late
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Technology,Accessories,58.08,4,0.2,-6.534,2021-09-25,2021-09-29,4788,Consumer_Colorado Springs,2021-10-25,2021-11-13,19,Late,0–30 Days Late
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Furnishings,52.416,9,0.2,15.0696,2022-12-31,2023-01-03,4789,Consumer_Colorado Springs,2023-01-30,2023-02-03,4,Late,0–30 Days Late
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Furnishings,54.92,5,0.2,10.984,2021-09-01,2021-09-03,4790,Consumer_Colorado Springs,2021-10-01,2021-10-10,9,Late,0–30 Days Late
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Tables,364.95,5,0.5,-248.166,2022-05-15,2022-05-21,4791,Consumer_Colorado Springs,2022-06-14,2022-06-30,16,Late,0–30 Days Late
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Paper,85.056,3,0.2,28.7064,2020-01-23,2020-01-24,4792,Consumer_Colorado Springs,2020-02-22,2020-04-04,42,Late,31–60 Days Late
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Paper,27.696,3,0.2,9.6936,2021-06-05,2021-06-06,4793,Consumer_Colorado Springs,2021-07-05,2021-07-20,15,Late,0–30 Days Late
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,24.96,4,0.0,11.232,2021-04-17,2021-04-18,4794,Consumer_New York City,2021-05-17,2021-06-02,16,Late,0–30 Days Late
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Furnishings,43.13,1,0.0,18.1146,2022-09-25,2022-09-26,4795,Corporate_Los Angeles,2022-10-25,2022-11-24,30,Late,0–30 Days Late
Standard Class,Consumer,United States,Marietta,Georgia,30062,South,Office Supplies,Binders,5.64,3,0.0,2.7072,2019-12-06,2019-12-11,4796,Consumer_Marietta,2020-01-05,2020-02-02,28,Late,0–30 Days Late
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,57.582,3,0.7,-44.1462,2019-07-23,2019-07-24,4797,Corporate_Jacksonville,2019-08-22,2019-09-15,24,Late,0–30 Days Late
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Paper,31.104,6,0.2,10.8864,2019-06-10,2019-06-13,4798,Corporate_Jacksonville,2019-07-10,2019-07-29,19,Late,0–30 Days Late
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Furniture,Furnishings,30.192,3,0.2,8.3028,2020-01-27,2020-02-03,4799,Corporate_Jacksonville,2020-02-26,2020-04-05,39,Late,31–60 Days Late
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Technology,Phones,43.6,5,0.2,4.36,2021-02-07,2021-02-08,4800,Corporate_Jacksonville,2021-03-09,2021-03-31,22,Late,0–30 Days Late
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Art,4.768,2,0.2,0.4172,2020-07-28,2020-08-01,4801,Corporate_Jacksonville,2020-08-27,2020-08-22,-5,On Time,On Time / Early
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,10.38,2,0.7,-7.612,2020-06-17,2020-06-24,4802,Corporate_Jacksonville,2020-07-17,2020-08-29,43,Late,31–60 Days Late
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,13.392,8,0.7,-9.8208,2021-12-29,2021-12-30,4803,Corporate_Jacksonville,2022-01-28,2022-03-08,39,Late,31–60 Days Late
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Technology,Phones,39.594,1,0.4,-7.2589,2021-06-11,2021-06-18,4804,Consumer_Philadelphia,2021-07-11,2021-07-09,-2,On Time,On Time / Early
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,91.008,9,0.2,19.3392,2020-02-09,2020-02-11,4805,Consumer_Philadelphia,2020-03-10,2020-03-11,1,Late,0–30 Days Late
Second Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,37.94,2,0.0,18.2112,2020-08-30,2020-09-02,4806,Consumer_Los Angeles,2020-09-29,2020-11-11,43,Late,31–60 Days Late
Second Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,42.8,10,0.0,19.26,2021-04-07,2021-04-10,4807,Consumer_Los Angeles,2021-05-07,2021-05-10,3,Late,0–30 Days Late
Second Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Storage,33.63,3,0.0,10.089,2022-02-17,2022-02-24,4808,Consumer_Los Angeles,2022-03-19,2022-04-18,30,Late,0–30 Days Late
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Envelopes,62.808,3,0.2,21.1977,2020-11-20,2020-11-26,4809,Corporate_Philadelphia,2020-12-20,2021-01-02,13,Late,0–30 Days Late
First Class,Consumer,United States,Eau Claire,Wisconsin,54703,Central,Office Supplies,Paper,195.64,4,0.0,91.9508,2021-06-20,2021-06-25,4810,Consumer_Eau Claire,2021-07-20,2021-07-15,-5,On Time,On Time / Early
First Class,Consumer,United States,Eau Claire,Wisconsin,54703,Central,Technology,Phones,239.9,2,0.0,71.97,2022-05-25,2022-05-29,4811,Consumer_Eau Claire,2022-06-24,2022-06-28,4,Late,0–30 Days Late
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Chairs,380.058,3,0.3,-21.7176,2019-02-25,2019-03-04,4812,Consumer_Philadelphia,2019-03-27,2019-04-26,30,Late,0–30 Days Late
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Copiers,1199.976,4,0.4,179.9964,2020-01-01,2020-01-04,4813,Consumer_Philadelphia,2020-01-31,2020-02-03,3,Late,0–30 Days Late
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,48.576,3,0.2,9.7152,2020-03-30,2020-04-01,4814,Consumer_Philadelphia,2020-04-29,2020-06-07,39,Late,31–60 Days Late
First Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,17.94,3,0.0,8.073,2019-04-14,2019-04-15,4815,Consumer_Los Angeles,2019-05-14,2019-06-23,40,Late,31–60 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,18.264,3,0.2,6.1641,2019-03-18,2019-03-21,4816,Consumer_Philadelphia,2019-04-17,2019-05-23,36,Late,31–60 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,34.656,2,0.2,5.6316,2019-08-18,2019-08-20,4817,Consumer_Philadelphia,2019-09-17,2019-10-13,26,Late,0–30 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,81.552,2,0.2,8.1552,2022-07-05,2022-07-06,4818,Consumer_Philadelphia,2022-08-04,2022-08-30,26,Late,0–30 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Storage,227.136,4,0.2,-42.588,2022-07-11,2022-07-16,4819,Consumer_Philadelphia,2022-08-10,2022-08-10,0,On Time,On Time / Early
Standard Class,Consumer,United States,Norwich,Connecticut,6360,East,Office Supplies,Binders,10.36,2,0.0,5.0764,2019-11-27,2019-11-30,4820,Consumer_Norwich,2019-12-27,2020-02-07,42,Late,31–60 Days Late
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,463.248,8,0.8,-1181.2824,2022-04-20,2022-04-23,4821,Consumer_San Antonio,2022-05-20,2022-06-21,32,Late,31–60 Days Late
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Accessories,383.952,6,0.2,47.994,2021-06-11,2021-06-18,4822,Consumer_San Antonio,2021-07-11,2021-07-22,11,Late,0–30 Days Late
Same Day,Home Office,United States,Yuma,Arizona,85364,West,Office Supplies,Binders,44.856,6,0.7,-35.8848,2020-11-18,2020-11-25,4823,Home Office_Yuma,2020-12-18,2020-12-22,4,Late,0–30 Days Late
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Technology,Machines,30.345,7,0.7,-24.276,2019-01-27,2019-01-29,4824,Consumer_Columbus,2019-02-26,2019-04-11,44,Late,31–60 Days Late
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Furniture,Chairs,127.554,3,0.3,-9.111,2022-07-23,2022-07-29,4825,Consumer_Columbus,2022-08-22,2022-09-12,21,Late,0–30 Days Late
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Furniture,Furnishings,77.952,3,0.2,15.5904,2019-10-26,2019-11-02,4826,Consumer_Columbus,2019-11-25,2020-01-08,44,Late,31–60 Days Late
First Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Binders,14.016,4,0.2,4.9056,2021-08-14,2021-08-18,4827,Corporate_Los Angeles,2021-09-13,2021-10-12,29,Late,0–30 Days Late
Standard Class,Corporate,United States,Richmond,Kentucky,40475,South,Office Supplies,Storage,69.52,2,0.0,19.4656,2021-03-09,2021-03-14,4828,Corporate_Richmond,2021-04-08,2021-04-23,15,Late,0–30 Days Late
Standard Class,Corporate,United States,Richmond,Kentucky,40475,South,Office Supplies,Art,5.64,3,0.0,1.6356,2022-01-19,2022-01-23,4829,Corporate_Richmond,2022-02-18,2022-03-09,19,Late,0–30 Days Late
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Binders,13.776,3,0.2,4.4772,2020-04-24,2020-04-27,4830,Consumer_New York City,2020-05-24,2020-06-15,22,Late,0–30 Days Late
Standard Class,Consumer,United States,Wausau,Wisconsin,54401,Central,Office Supplies,Appliances,245.88,6,0.0,68.8464,2020-07-26,2020-07-30,4831,Consumer_Wausau,2020-08-25,2020-10-05,41,Late,31–60 Days Late
Standard Class,Consumer,United States,Wausau,Wisconsin,54401,Central,Office Supplies,Storage,36.63,3,0.0,9.8901,2020-04-02,2020-04-03,4832,Consumer_Wausau,2020-05-02,2020-05-11,9,Late,0–30 Days Late
Standard Class,Consumer,United States,Wausau,Wisconsin,54401,Central,Office Supplies,Storage,22.58,2,0.0,5.8708,2019-12-31,2020-01-05,4833,Consumer_Wausau,2020-01-30,2020-01-28,-2,On Time,On Time / Early
Standard Class,Consumer,United States,Wausau,Wisconsin,54401,Central,Office Supplies,Binders,12.39,3,0.0,5.8233,2021-05-08,2021-05-12,4834,Consumer_Wausau,2021-06-07,2021-06-30,23,Late,0–30 Days Late
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Binders,39.92,5,0.2,13.473,2019-12-17,2019-12-18,4835,Home Office_San Francisco,2020-01-16,2020-01-19,3,Late,0–30 Days Late
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Paper,61.96,2,0.0,27.882,2022-11-24,2022-11-26,4836,Home Office_San Francisco,2022-12-24,2023-01-14,21,Late,0–30 Days Late
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Binders,19.936,4,0.2,7.2268,2019-09-10,2019-09-14,4837,Home Office_San Francisco,2019-10-10,2019-10-30,20,Late,0–30 Days Late
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Binders,3.798,2,0.7,-2.6586,2021-02-19,2021-02-24,4838,Consumer_Dublin,2021-03-21,2021-04-03,13,Late,0–30 Days Late
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Paper,27.744,6,0.2,10.0572,2021-03-13,2021-03-14,4839,Consumer_Dublin,2021-04-12,2021-05-04,22,Late,0–30 Days Late
First Class,Consumer,United States,Dublin,Ohio,43017,East,Technology,Phones,158.376,4,0.4,-34.3148,2021-10-08,2021-10-12,4840,Consumer_Dublin,2021-11-07,2021-11-18,11,Late,0–30 Days Late
Standard Class,Home Office,United States,Henderson,Kentucky,42420,South,Furniture,Furnishings,27.58,2,0.0,11.5836,2020-04-03,2020-04-05,4841,Home Office_Henderson,2020-05-03,2020-06-09,37,Late,31–60 Days Late
Standard Class,Consumer,United States,Bowling Green,Ohio,43402,East,Office Supplies,Binders,5.553,3,0.7,-4.0722,2021-07-05,2021-07-09,4842,Consumer_Bowling Green,2021-08-04,2021-09-08,35,Late,31–60 Days Late
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,243.92,5,0.2,-54.882,2020-05-13,2020-05-14,4843,Consumer_Memphis,2020-06-12,2020-07-18,36,Late,31–60 Days Late
First Class,Consumer,United States,Lakewood,New Jersey,8701,East,Office Supplies,Fasteners,14.96,4,0.0,0.2992,2021-08-07,2021-08-11,4844,Consumer_Lakewood,2021-09-06,2021-10-20,44,Late,31–60 Days Late
First Class,Corporate,United States,Los Angeles,California,90008,West,Office Supplies,Binders,7.184,2,0.2,2.245,2020-05-22,2020-05-27,4845,Corporate_Los Angeles,2020-06-21,2020-07-05,14,Late,0–30 Days Late
Second Class,Consumer,United States,Rochester,New York,14609,East,Office Supplies,Binders,10.512,3,0.2,3.6792,2022-08-20,2022-08-23,4846,Consumer_Rochester,2022-09-19,2022-10-28,39,Late,31–60 Days Late
Second Class,Corporate,United States,Salem,Oregon,97301,West,Technology,Phones,263.96,5,0.2,19.797,2020-05-15,2020-05-16,4847,Corporate_Salem,2020-06-14,2020-07-18,34,Late,31–60 Days Late
Second Class,Corporate,United States,Salem,Oregon,97301,West,Office Supplies,Art,71.632,11,0.2,17.908,2021-03-13,2021-03-14,4848,Corporate_Salem,2021-04-12,2021-05-15,33,Late,31–60 Days Late
Second Class,Corporate,United States,Salem,Oregon,97301,West,Office Supplies,Art,9.328,1,0.2,0.8162,2020-08-20,2020-08-21,4849,Corporate_Salem,2020-09-19,2020-11-01,43,Late,31–60 Days Late
Standard Class,Consumer,United States,Pasco,Washington,99301,West,Office Supplies,Art,5.88,2,0.0,2.646,2019-06-15,2019-06-16,4850,Consumer_Pasco,2019-07-15,2019-08-01,17,Late,0–30 Days Late
Standard Class,Consumer,United States,Pasco,Washington,99301,West,Furniture,Chairs,975.92,5,0.2,121.99,2022-12-09,2022-12-13,4851,Consumer_Pasco,2023-01-08,2023-02-18,41,Late,31–60 Days Late
Standard Class,Consumer,United States,Pasco,Washington,99301,West,Office Supplies,Art,303.84,8,0.0,91.152,2020-04-06,2020-04-11,4852,Consumer_Pasco,2020-05-06,2020-06-01,26,Late,0–30 Days Late
Standard Class,Consumer,United States,Pasco,Washington,99301,West,Office Supplies,Storage,485.88,6,0.0,19.4352,2021-07-08,2021-07-10,4853,Consumer_Pasco,2021-08-07,2021-09-17,41,Late,31–60 Days Late
Second Class,Consumer,United States,Oakland,California,94601,West,Furniture,Furnishings,12.54,3,0.0,4.5144,2019-04-24,2019-04-29,4854,Consumer_Oakland,2019-05-24,2019-06-20,27,Late,0–30 Days Late
Second Class,Consumer,United States,Oakland,California,94601,West,Office Supplies,Storage,8.94,3,0.0,0.6258,2022-12-27,2022-12-28,4855,Consumer_Oakland,2023-01-26,2023-03-07,40,Late,31–60 Days Late
Second Class,Consumer,United States,Oakland,California,94601,West,Furniture,Furnishings,9.24,3,0.0,4.4352,2021-09-18,2021-09-24,4856,Consumer_Oakland,2021-10-18,2021-10-17,-1,On Time,On Time / Early
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,70.008,3,0.2,24.5028,2022-10-11,2022-10-15,4857,Consumer_Los Angeles,2022-11-10,2022-12-17,37,Late,31–60 Days Late
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,77.6,4,0.0,38.024,2019-07-26,2019-08-01,4858,Consumer_Los Angeles,2019-08-25,2019-10-06,42,Late,31–60 Days Late
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,464.85,9,0.0,92.97,2022-06-12,2022-06-16,4859,Consumer_Los Angeles,2022-07-12,2022-08-09,28,Late,0–30 Days Late
Standard Class,Corporate,United States,Oak Park,Illinois,60302,Central,Office Supplies,Art,10.192,7,0.2,1.0192,2022-10-10,2022-10-11,4860,Corporate_Oak Park,2022-11-09,2022-12-13,34,Late,31–60 Days Late
Standard Class,Corporate,United States,Morristown,New Jersey,7960,East,Office Supplies,Binders,1793.98,2,0.0,843.1706,2020-05-29,2020-06-02,4861,Corporate_Morristown,2020-06-28,2020-07-03,5,Late,0–30 Days Late
Second Class,Home Office,United States,Austin,Texas,78745,Central,Technology,Phones,758.352,6,0.2,265.4232,2022-05-16,2022-05-17,4862,Home Office_Austin,2022-06-15,2022-07-29,44,Late,31–60 Days Late
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Binders,20.368,1,0.2,7.3834,2020-12-09,2020-12-14,4863,Corporate_New York City,2021-01-08,2021-01-05,-3,On Time,On Time / Early
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Binders,49.848,3,0.2,16.8237,2022-02-22,2022-03-01,4864,Corporate_New York City,2022-03-24,2022-04-20,27,Late,0–30 Days Late
Standard Class,Consumer,United States,New York City,New York,10024,East,Technology,Phones,239.97,3,0.0,67.1916,2019-05-18,2019-05-21,4865,Consumer_New York City,2019-06-17,2019-06-22,5,Late,0–30 Days Late
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Chairs,2404.704,6,0.2,150.294,2019-12-05,2019-12-09,4866,Consumer_Seattle,2020-01-04,2020-01-14,10,Late,0–30 Days Late
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,563.024,11,0.2,190.0206,2020-06-20,2020-06-21,4867,Consumer_Seattle,2020-07-20,2020-08-01,12,Late,0–30 Days Late
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Storage,344.91,3,0.0,10.3473,2019-03-09,2019-03-15,4868,Consumer_Seattle,2019-04-08,2019-05-02,24,Late,0–30 Days Late
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Labels,8.64,3,0.0,4.2336,2020-01-18,2020-01-19,4869,Consumer_Seattle,2020-02-17,2020-03-30,42,Late,31–60 Days Late
Standard Class,Corporate,United States,Lancaster,Pennsylvania,17602,East,Technology,Phones,89.988,2,0.4,-14.998,2019-01-19,2019-01-25,4870,Corporate_Lancaster,2019-02-18,2019-02-22,4,Late,0–30 Days Late
Standard Class,Corporate,United States,Lancaster,Pennsylvania,17602,East,Office Supplies,Paper,229.544,7,0.2,83.2097,2020-11-13,2020-11-17,4871,Corporate_Lancaster,2020-12-13,2020-12-25,12,Late,0–30 Days Late
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Fasteners,1.824,2,0.2,0.6156,2019-03-15,2019-03-17,4872,Consumer_Houston,2019-04-14,2019-05-16,32,Late,31–60 Days Late
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Appliances,18.32,5,0.8,-46.716,2020-07-26,2020-08-01,4873,Consumer_Houston,2020-08-25,2020-09-07,13,Late,0–30 Days Late
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Storage,48.816,3,0.2,-11.5938,2021-07-27,2021-07-28,4874,Consumer_Houston,2021-08-26,2021-09-25,30,Late,0–30 Days Late
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,1.188,1,0.8,-1.9602,2022-07-23,2022-07-27,4875,Consumer_Houston,2022-08-22,2022-08-29,7,Late,0–30 Days Late
Standard Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Accessories,119.8,5,0.2,29.95,2021-12-07,2021-12-08,4876,Corporate_Columbus,2022-01-06,2022-02-15,40,Late,31–60 Days Late
Standard Class,Home Office,United States,Durham,North Carolina,27707,South,Office Supplies,Storage,61.568,2,0.2,4.6176,2019-07-30,2019-08-01,4877,Home Office_Durham,2019-08-29,2019-08-26,-3,On Time,On Time / Early
Standard Class,Home Office,United States,Durham,North Carolina,27707,South,Office Supplies,Art,6.192,3,0.2,0.4644,2021-05-04,2021-05-07,4878,Home Office_Durham,2021-06-03,2021-06-07,4,Late,0–30 Days Late
First Class,Consumer,United States,Pensacola,Florida,32503,South,Office Supplies,Binders,2.214,3,0.7,-1.476,2020-10-12,2020-10-19,4879,Consumer_Pensacola,2020-11-11,2020-12-13,32,Late,31–60 Days Late
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Envelopes,5.32,2,0.0,2.6068,2021-09-20,2021-09-27,4880,Corporate_Henderson,2021-10-20,2021-10-15,-5,On Time,On Time / Early
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,975.92,4,0.0,292.776,2020-11-25,2020-11-27,4881,Corporate_Henderson,2020-12-25,2021-01-15,21,Late,0–30 Days Late
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Technology,Accessories,2249.91,9,0.0,517.4793,2020-06-23,2020-06-28,4882,Corporate_Henderson,2020-07-23,2020-09-01,40,Late,31–60 Days Late
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Storage,59.92,4,0.0,16.7776,2022-04-29,2022-05-03,4883,Corporate_Henderson,2022-05-29,2022-05-31,2,Late,0–30 Days Late
Standard Class,Consumer,United States,Anaheim,California,92804,West,Office Supplies,Binders,171.2,5,0.2,64.2,2022-08-31,2022-09-02,4884,Consumer_Anaheim,2022-09-30,2022-11-09,40,Late,31–60 Days Late
Standard Class,Consumer,United States,Anaheim,California,92804,West,Office Supplies,Art,3.36,2,0.0,0.8736,2021-06-19,2021-06-22,4885,Consumer_Anaheim,2021-07-19,2021-08-24,36,Late,31–60 Days Late
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Paper,114.2,5,0.0,52.532,2021-02-18,2021-02-19,4886,Corporate_Detroit,2021-03-20,2021-03-31,11,Late,0–30 Days Late
Second Class,Corporate,United States,Marietta,Georgia,30062,South,Furniture,Chairs,182.67,3,0.0,52.9743,2022-02-10,2022-02-14,4887,Corporate_Marietta,2022-03-12,2022-03-15,3,Late,0–30 Days Late
Second Class,Corporate,United States,Marietta,Georgia,30062,South,Technology,Accessories,101.7,6,0.0,6.102,2019-06-19,2019-06-25,4888,Corporate_Marietta,2019-07-19,2019-07-19,0,On Time,On Time / Early
Second Class,Corporate,United States,Marietta,Georgia,30062,South,Office Supplies,Storage,1126.02,3,0.0,56.301,2021-11-03,2021-11-05,4889,Corporate_Marietta,2021-12-03,2022-01-09,37,Late,31–60 Days Late
Second Class,Corporate,United States,Marietta,Georgia,30062,South,Office Supplies,Storage,1263.3,6,0.0,315.825,2019-10-15,2019-10-18,4890,Corporate_Marietta,2019-11-14,2019-12-03,19,Late,0–30 Days Late
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Art,8.82,3,0.0,2.5578,2019-07-08,2019-07-10,4891,Corporate_Seattle,2019-08-07,2019-09-09,33,Late,31–60 Days Late
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,37.94,2,0.0,18.2112,2021-07-02,2021-07-07,4892,Corporate_Seattle,2021-08-01,2021-09-13,43,Late,31–60 Days Late
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Art,4.2,2,0.0,1.176,2022-03-24,2022-03-31,4893,Corporate_Seattle,2022-04-23,2022-05-15,22,Late,0–30 Days Late
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Storage,227.28,2,0.0,2.2728,2020-11-24,2020-12-01,4894,Corporate_Seattle,2020-12-24,2021-01-20,27,Late,0–30 Days Late
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,47.9,1,0.0,22.992,2021-06-06,2021-06-10,4895,Corporate_Seattle,2021-07-06,2021-08-06,31,Late,31–60 Days Late
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Envelopes,61.96,2,0.0,30.3604,2020-04-15,2020-04-16,4896,Corporate_Seattle,2020-05-15,2020-05-18,3,Late,0–30 Days Late
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Storage,1117.92,4,0.0,55.896,2022-01-03,2022-01-06,4897,Corporate_Seattle,2022-02-02,2022-02-14,12,Late,0–30 Days Late
First Class,Consumer,United States,Parma,Ohio,44134,East,Furniture,Chairs,183.372,2,0.3,-7.8588,2019-10-04,2019-10-06,4898,Consumer_Parma,2019-11-03,2019-11-18,15,Late,0–30 Days Late
First Class,Consumer,United States,Parma,Ohio,44134,East,Office Supplies,Paper,7.968,2,0.2,2.8884,2021-07-28,2021-08-01,4899,Consumer_Parma,2021-08-27,2021-08-23,-4,On Time,On Time / Early
Standard Class,Consumer,United States,Gresham,Oregon,97030,West,Office Supplies,Binders,26.352,8,0.7,-18.4464,2022-09-28,2022-09-30,4900,Consumer_Gresham,2022-10-28,2022-12-04,37,Late,31–60 Days Late
Standard Class,Corporate,United States,Anaheim,California,92804,West,Office Supplies,Storage,481.32,4,0.0,125.1432,2022-12-19,2022-12-23,4901,Corporate_Anaheim,2023-01-18,2023-02-19,32,Late,31–60 Days Late
Standard Class,Corporate,United States,Anaheim,California,92804,West,Office Supplies,Supplies,13.98,1,0.0,3.6348,2020-07-24,2020-07-31,4902,Corporate_Anaheim,2020-08-23,2020-09-26,34,Late,31–60 Days Late
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Binders,25.92,6,0.2,9.072,2021-05-06,2021-05-11,4903,Consumer_New York City,2021-06-05,2021-07-05,30,Late,0–30 Days Late
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Labels,91.59,3,0.0,42.1314,2021-09-27,2021-09-29,4904,Consumer_New York City,2021-10-27,2021-12-10,44,Late,31–60 Days Late
Second Class,Corporate,United States,Houston,Texas,77070,Central,Furniture,Chairs,674.058,3,0.3,-19.2588,2022-04-20,2022-04-25,4905,Corporate_Houston,2022-05-20,2022-06-26,37,Late,31–60 Days Late
Second Class,Corporate,United States,Concord,New Hampshire,3301,East,Office Supplies,Binders,22.92,4,0.0,11.0016,2020-04-02,2020-04-08,4906,Corporate_Concord,2020-05-02,2020-06-02,31,Late,31–60 Days Late
Second Class,Corporate,United States,Concord,New Hampshire,3301,East,Office Supplies,Storage,269.9,5,0.0,16.194,2021-07-06,2021-07-12,4907,Corporate_Concord,2021-08-05,2021-08-14,9,Late,0–30 Days Late
Second Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Binders,11.808,8,0.7,-8.6592,2021-04-12,2021-04-19,4908,Consumer_Fairfield,2021-05-12,2021-06-03,22,Late,0–30 Days Late
Second Class,Consumer,United States,Fairfield,Ohio,45014,East,Technology,Phones,9.588,2,0.4,-2.0774,2021-12-23,2021-12-26,4909,Consumer_Fairfield,2022-01-22,2022-02-03,12,Late,0–30 Days Late
Standard Class,Consumer,United States,Johnson City,Tennessee,37604,South,Office Supplies,Envelopes,18.336,3,0.2,6.6468,2021-04-18,2021-04-23,4910,Consumer_Johnson City,2021-05-18,2021-06-15,28,Late,0–30 Days Late
Standard Class,Consumer,United States,Johnson City,Tennessee,37604,South,Office Supplies,Paper,36.288,7,0.2,12.7008,2022-07-07,2022-07-11,4911,Consumer_Johnson City,2022-08-06,2022-08-22,16,Late,0–30 Days Late
